cpu
Loading Hopkins155 data from: data/test_samples/
finished loading data for 2 sequences
Pretraining Epoch 1/10, Avg Loss: 5.5678
Pretraining Epoch 75/2000, Avg Loss: 5.0686
Pretraining Epoch 76/2000, Avg Loss: 5.0777
Pretraining Epoch 77/2000, Avg Loss: 5.0574
Pretraining Epoch 78/2000, Avg Loss: 5.0532
Pretraining Epoch 79/2000, Avg Loss: 5.0540
Pretraining Epoch 80/2000, Avg Loss: 5.0654
Pretraining Epoch 81/2000, Avg Loss: 5.0487
Pretraining Epoch 82/2000, Avg Loss: 5.0428
Pretraining Epoch 83/2000, Avg Loss: 5.0472
Pretraining Epoch 84/2000, Avg Loss: 5.0399
Pretraining Epoch 85/2000, Avg Loss: 5.0355
Pretraining Epoch 86/2000, Avg Loss: 5.0325
Pretraining Epoch 87/2000, Avg Loss: 5.0310
Pretraining Epoch 88/2000, Avg Loss: 5.0277
Pretraining Epoch 89/2000, Avg Loss: 5.0154
Pretraining Epoch 90/2000, Avg Loss: 5.0171
Pretraining Epoch 91/2000, Avg Loss: 5.0134
Pretraining Epoch 92/2000, Avg Loss: 5.0210
Pretraining Epoch 93/2000, Avg Loss: 5.0140
Pretraining Epoch 94/2000, Avg Loss: 5.0153
Pretraining Epoch 95/2000, Avg Loss: 5.0050
Pretraining Epoch 96/2000, Avg Loss: 5.0023
Pretraining Epoch 97/2000, Avg Loss: 4.9951
Pretraining Epoch 98/2000, Avg Loss: 4.9891
Pretraining Epoch 99/2000, Avg Loss: 4.9975
Pretraining Epoch 100/2000, Avg Loss: 4.9953
Pretraining Epoch 101/2000, Avg Loss: 4.9921
Pretraining Epoch 102/2000, Avg Loss: 5.0017
Pretraining Epoch 103/2000, Avg Loss: 4.9795
Pretraining Epoch 104/2000, Avg Loss: 4.9897
Pretraining Epoch 105/2000, Avg Loss: 4.9733
Pretraining Epoch 106/2000, Avg Loss: 4.9703
Pretraining Epoch 107/2000, Avg Loss: 4.9696
Pretraining Epoch 108/2000, Avg Loss: 4.9727
Pretraining Epoch 109/2000, Avg Loss: 4.9741
Pretraining Epoch 110/2000, Avg Loss: 4.9694
Pretraining Epoch 111/2000, Avg Loss: 4.9688
Pretraining Epoch 112/2000, Avg Loss: 4.9616
Pretraining Epoch 113/2000, Avg Loss: 4.9654
Pretraining Epoch 114/2000, Avg Loss: 4.9656
Pretraining Epoch 115/2000, Avg Loss: 4.9647
Pretraining Epoch 116/2000, Avg Loss: 4.9632
Pretraining Epoch 117/2000, Avg Loss: 4.9474
Pretraining Epoch 118/2000, Avg Loss: 4.9520
Pretraining Epoch 119/2000, Avg Loss: 4.9760
Pretraining Epoch 120/2000, Avg Loss: 4.9496
Pretraining Epoch 121/2000, Avg Loss: 4.9805
Pretraining Epoch 122/2000, Avg Loss: 4.9429
Pretraining Epoch 123/2000, Avg Loss: 4.9385
Pretraining Epoch 124/2000, Avg Loss: 4.9421
Pretraining Epoch 125/2000, Avg Loss: 4.9343
Pretraining Epoch 126/2000, Avg Loss: 4.9412
Pretraining Epoch 127/2000, Avg Loss: 4.9493
Pretraining Epoch 128/2000, Avg Loss: 4.9332
Pretraining Epoch 129/2000, Avg Loss: 4.9342
Pretraining Epoch 130/2000, Avg Loss: 4.9407
Pretraining Epoch 131/2000, Avg Loss: 4.9592
Pretraining Epoch 132/2000, Avg Loss: 4.9417
Pretraining Epoch 133/2000, Avg Loss: 4.9308
Pretraining Epoch 134/2000, Avg Loss: 4.9220
Pretraining Epoch 135/2000, Avg Loss: 4.9362
Pretraining Epoch 136/2000, Avg Loss: 4.9380
Pretraining Epoch 137/2000, Avg Loss: 4.9285
Pretraining Epoch 138/2000, Avg Loss: 4.9250
Pretraining Epoch 139/2000, Avg Loss: 4.9287
Pretraining Epoch 140/2000, Avg Loss: 4.9420
Pretraining Epoch 141/2000, Avg Loss: 4.9299
Pretraining Epoch 142/2000, Avg Loss: 4.9945
Pretraining Epoch 143/2000, Avg Loss: 4.9395
Pretraining Epoch 144/2000, Avg Loss: 4.9173
Pretraining Epoch 145/2000, Avg Loss: 4.9172
Pretraining Epoch 146/2000, Avg Loss: 4.9112
Pretraining Epoch 147/2000, Avg Loss: 4.9117
Pretraining Epoch 148/2000, Avg Loss: 4.9120
Pretraining Epoch 149/2000, Avg Loss: 4.9785
Pretraining Epoch 150/2000, Avg Loss: 4.9547
Pretraining Epoch 151/2000, Avg Loss: 4.9091
Pretraining Epoch 152/2000, Avg Loss: 4.9127
Pretraining Epoch 153/2000, Avg Loss: 4.9107
Pretraining Epoch 154/2000, Avg Loss: 4.9157
Pretraining Epoch 155/2000, Avg Loss: 4.9126
Pretraining Epoch 156/2000, Avg Loss: 4.9249
Pretraining Epoch 157/2000, Avg Loss: 4.9044
Pretraining Epoch 158/2000, Avg Loss: 4.9158
Pretraining Epoch 159/2000, Avg Loss: 4.9515
Pretraining Epoch 160/2000, Avg Loss: 4.9310
Pretraining Epoch 161/2000, Avg Loss: 4.9013
Pretraining Epoch 162/2000, Avg Loss: 4.8986
Pretraining Epoch 163/2000, Avg Loss: 4.8978
Pretraining Epoch 164/2000, Avg Loss: 4.9011
Pretraining Epoch 165/2000, Avg Loss: 4.9012
Pretraining Epoch 166/2000, Avg Loss: 4.9146
Pretraining Epoch 167/2000, Avg Loss: 5.0197
Pretraining Epoch 168/2000, Avg Loss: 4.9395
Pretraining Epoch 169/2000, Avg Loss: 4.9058
Pretraining Epoch 170/2000, Avg Loss: 4.8970
Pretraining Epoch 171/2000, Avg Loss: 4.8943
Pretraining Epoch 172/2000, Avg Loss: 4.8996
Pretraining Epoch 173/2000, Avg Loss: 4.8981
Pretraining Epoch 174/2000, Avg Loss: 4.8956
Pretraining Epoch 175/2000, Avg Loss: 4.8939
Pretraining Epoch 176/2000, Avg Loss: 4.9201
Pretraining Epoch 177/2000, Avg Loss: 4.9723
Pretraining Epoch 178/2000, Avg Loss: 4.9692
Pretraining Epoch 179/2000, Avg Loss: 4.9121
Pretraining Epoch 180/2000, Avg Loss: 4.8953
Pretraining Epoch 181/2000, Avg Loss: 4.8913
Pretraining Epoch 182/2000, Avg Loss: 4.8916
Pretraining Epoch 183/2000, Avg Loss: 4.8914
Pretraining Epoch 184/2000, Avg Loss: 4.8885
Pretraining Epoch 185/2000, Avg Loss: 4.8915
Pretraining Epoch 186/2000, Avg Loss: 4.9624
Pretraining Epoch 187/2000, Avg Loss: 4.9348
Pretraining Epoch 188/2000, Avg Loss: 4.9153
Pretraining Epoch 189/2000, Avg Loss: 4.8918
Pretraining Epoch 190/2000, Avg Loss: 4.8877
Pretraining Epoch 191/2000, Avg Loss: 4.9064
Pretraining Epoch 192/2000, Avg Loss: 4.9033
Pretraining Epoch 193/2000, Avg Loss: 4.8953
Pretraining Epoch 194/2000, Avg Loss: 4.8859
Pretraining Epoch 195/2000, Avg Loss: 4.9166
Pretraining Epoch 196/2000, Avg Loss: 5.0730
Pretraining Epoch 197/2000, Avg Loss: 4.9273
Pretraining Epoch 198/2000, Avg Loss: 4.8954
Pretraining Epoch 199/2000, Avg Loss: 4.8886
Pretraining Epoch 200/2000, Avg Loss: 4.8868
Pretraining Epoch 201/2000, Avg Loss: 4.8854
Pretraining Epoch 202/2000, Avg Loss: 4.8918
Pretraining Epoch 203/2000, Avg Loss: 4.8842
Pretraining Epoch 204/2000, Avg Loss: 4.8853
Pretraining Epoch 205/2000, Avg Loss: 4.9058
Pretraining Epoch 206/2000, Avg Loss: 4.9908
Pretraining Epoch 207/2000, Avg Loss: 4.9758
Pretraining Epoch 208/2000, Avg Loss: 4.8950
Pretraining Epoch 209/2000, Avg Loss: 4.8870
Pretraining Epoch 210/2000, Avg Loss: 4.8862
Pretraining Epoch 211/2000, Avg Loss: 4.8850
Pretraining Epoch 212/2000, Avg Loss: 4.9060
Pretraining Epoch 213/2000, Avg Loss: 4.9216
Pretraining Epoch 214/2000, Avg Loss: 4.8926
Pretraining Epoch 215/2000, Avg Loss: 4.8818
Pretraining Epoch 216/2000, Avg Loss: 4.8833
Pretraining Epoch 217/2000, Avg Loss: 4.8808
Pretraining Epoch 218/2000, Avg Loss: 4.8848
Pretraining Epoch 219/2000, Avg Loss: 4.9090
Pretraining Epoch 220/2000, Avg Loss: 4.9135
Pretraining Epoch 221/2000, Avg Loss: 4.9201
Pretraining Epoch 222/2000, Avg Loss: 4.9073
Pretraining Epoch 223/2000, Avg Loss: 4.8853
Pretraining Epoch 224/2000, Avg Loss: 4.8867
Pretraining Epoch 225/2000, Avg Loss: 4.8840
Pretraining Epoch 226/2000, Avg Loss: 4.9216
Pretraining Epoch 227/2000, Avg Loss: 4.8959
Pretraining Epoch 228/2000, Avg Loss: 4.8830
Pretraining Epoch 229/2000, Avg Loss: 4.8825
Pretraining Epoch 230/2000, Avg Loss: 4.8808
Pretraining Epoch 231/2000, Avg Loss: 4.8846
Pretraining Epoch 232/2000, Avg Loss: 4.9659
Pretraining Epoch 233/2000, Avg Loss: 5.1076
Pretraining Epoch 234/2000, Avg Loss: 4.9532
Pretraining Epoch 235/2000, Avg Loss: 4.8935
Pretraining Epoch 236/2000, Avg Loss: 4.8911
Pretraining Epoch 237/2000, Avg Loss: 4.8820
Pretraining Epoch 238/2000, Avg Loss: 4.8790
Pretraining Epoch 239/2000, Avg Loss: 4.8790
Pretraining Epoch 240/2000, Avg Loss: 4.8799
Pretraining Epoch 241/2000, Avg Loss: 4.8885
Pretraining Epoch 242/2000, Avg Loss: 4.8802
Pretraining Epoch 243/2000, Avg Loss: 4.9776
Pretraining Epoch 244/2000, Avg Loss: 4.9330
Pretraining Epoch 245/2000, Avg Loss: 4.8879
Pretraining Epoch 246/2000, Avg Loss: 4.8824
Pretraining Epoch 247/2000, Avg Loss: 4.8848
Pretraining Epoch 248/2000, Avg Loss: 4.8769
Pretraining Epoch 249/2000, Avg Loss: 4.8860
Pretraining Epoch 250/2000, Avg Loss: 4.9247
Pretraining Epoch 251/2000, Avg Loss: 4.9135
Pretraining Epoch 252/2000, Avg Loss: 4.9020
Pretraining Epoch 253/2000, Avg Loss: 4.8802
Pretraining Epoch 254/2000, Avg Loss: 4.8787
Pretraining Epoch 255/2000, Avg Loss: 4.9044
Pretraining Epoch 256/2000, Avg Loss: 4.9058
Pretraining Epoch 257/2000, Avg Loss: 4.8804
Pretraining Epoch 258/2000, Avg Loss: 4.8762
Pretraining Epoch 259/2000, Avg Loss: 4.8770
Pretraining Epoch 260/2000, Avg Loss: 4.8835
Pretraining Epoch 261/2000, Avg Loss: 4.9370
Pretraining Epoch 262/2000, Avg Loss: 5.0023
Pretraining Epoch 263/2000, Avg Loss: 4.9147
Pretraining Epoch 264/2000, Avg Loss: 4.8841
Pretraining Epoch 265/2000, Avg Loss: 4.8779
Pretraining Epoch 266/2000, Avg Loss: 4.8798
Pretraining Epoch 267/2000, Avg Loss: 4.8898
Pretraining Epoch 268/2000, Avg Loss: 4.8801
Pretraining Epoch 269/2000, Avg Loss: 4.8784
Pretraining Epoch 270/2000, Avg Loss: 4.8784
Pretraining Epoch 271/2000, Avg Loss: 4.8867
Pretraining Epoch 272/2000, Avg Loss: 4.9585
Pretraining Epoch 273/2000, Avg Loss: 4.9502
Pretraining Epoch 274/2000, Avg Loss: 4.8943
Pretraining Epoch 275/2000, Avg Loss: 4.8793
Pretraining Epoch 276/2000, Avg Loss: 4.8762
Pretraining Epoch 277/2000, Avg Loss: 4.8743
Pretraining Epoch 278/2000, Avg Loss: 4.8731
Pretraining Epoch 279/2000, Avg Loss: 4.8763
Pretraining Epoch 280/2000, Avg Loss: 4.8782
Pretraining Epoch 281/2000, Avg Loss: 4.8735
Pretraining Epoch 282/2000, Avg Loss: 4.8796
Pretraining Epoch 283/2000, Avg Loss: 4.8960
Pretraining Epoch 284/2000, Avg Loss: 5.0296
Pretraining Epoch 285/2000, Avg Loss: 4.9115
Pretraining Epoch 286/2000, Avg Loss: 4.8822
Pretraining Epoch 287/2000, Avg Loss: 4.8759
Pretraining Epoch 288/2000, Avg Loss: 4.8761
Pretraining Epoch 289/2000, Avg Loss: 4.8787
Pretraining Epoch 290/2000, Avg Loss: 4.8743
Pretraining Epoch 291/2000, Avg Loss: 4.8749
Pretraining Epoch 292/2000, Avg Loss: 4.8758
Pretraining Epoch 293/2000, Avg Loss: 4.9201
Pretraining Epoch 294/2000, Avg Loss: 5.0773
Pretraining Epoch 295/2000, Avg Loss: 4.9205
Pretraining Epoch 296/2000, Avg Loss: 4.8881
Pretraining Epoch 297/2000, Avg Loss: 4.8779
Pretraining Epoch 298/2000, Avg Loss: 4.8776
Pretraining Epoch 299/2000, Avg Loss: 4.8755
Pretraining Epoch 300/2000, Avg Loss: 4.8745
Pretraining Epoch 301/2000, Avg Loss: 4.8734
Pretraining Epoch 302/2000, Avg Loss: 4.8860
Pretraining Epoch 303/2000, Avg Loss: 4.9045
Pretraining Epoch 304/2000, Avg Loss: 4.9501
Pretraining Epoch 305/2000, Avg Loss: 4.9055
Pretraining Epoch 306/2000, Avg Loss: 4.8773
Pretraining Epoch 307/2000, Avg Loss: 4.8757
Pretraining Epoch 308/2000, Avg Loss: 4.8753
Pretraining Epoch 309/2000, Avg Loss: 4.8721
Pretraining Epoch 310/2000, Avg Loss: 4.8721
Pretraining Epoch 311/2000, Avg Loss: 4.8855
Pretraining Epoch 312/2000, Avg Loss: 4.9834
Pretraining Epoch 313/2000, Avg Loss: 5.1067
Pretraining Epoch 314/2000, Avg Loss: 4.9454
Pretraining Epoch 315/2000, Avg Loss: 4.8850
Pretraining Epoch 316/2000, Avg Loss: 4.8775
Pretraining Epoch 317/2000, Avg Loss: 4.8745
Pretraining Epoch 318/2000, Avg Loss: 4.8734
Pretraining Epoch 319/2000, Avg Loss: 4.8740
Pretraining Epoch 320/2000, Avg Loss: 4.8731
Pretraining Epoch 321/2000, Avg Loss: 4.8718
Pretraining Epoch 322/2000, Avg Loss: 4.9101
Pretraining Epoch 323/2000, Avg Loss: 4.9821
Pretraining Epoch 324/2000, Avg Loss: 4.8891
Pretraining Epoch 325/2000, Avg Loss: 4.8753
Pretraining Epoch 326/2000, Avg Loss: 4.8797
Pretraining Epoch 327/2000, Avg Loss: 4.8737
Pretraining Epoch 328/2000, Avg Loss: 4.8760
Pretraining Epoch 329/2000, Avg Loss: 4.8718
Pretraining Epoch 330/2000, Avg Loss: 4.9269
Pretraining Epoch 331/2000, Avg Loss: 4.9307
Pretraining Epoch 332/2000, Avg Loss: 4.8900
Pretraining Epoch 333/2000, Avg Loss: 4.8757
Pretraining Epoch 334/2000, Avg Loss: 4.8731
Pretraining Epoch 335/2000, Avg Loss: 4.8739
Pretraining Epoch 336/2000, Avg Loss: 4.8731
Pretraining Epoch 337/2000, Avg Loss: 4.8780
Pretraining Epoch 338/2000, Avg Loss: 4.8911
Pretraining Epoch 339/2000, Avg Loss: 4.9040
Pretraining Epoch 340/2000, Avg Loss: 4.8838
Pretraining Epoch 341/2000, Avg Loss: 4.9046
Pretraining Epoch 342/2000, Avg Loss: 4.9246
Pretraining Epoch 343/2000, Avg Loss: 4.8815
Pretraining Epoch 344/2000, Avg Loss: 4.8733
Pretraining Epoch 345/2000, Avg Loss: 4.8715
Pretraining Epoch 346/2000, Avg Loss: 4.8733
Pretraining Epoch 347/2000, Avg Loss: 4.9758
Pretraining Epoch 348/2000, Avg Loss: 4.9701
Pretraining Epoch 349/2000, Avg Loss: 4.8952
Pretraining Epoch 350/2000, Avg Loss: 4.8749
Pretraining Epoch 351/2000, Avg Loss: 4.8724
Pretraining Epoch 352/2000, Avg Loss: 4.8712
Pretraining Epoch 353/2000, Avg Loss: 4.8705
Pretraining Epoch 354/2000, Avg Loss: 4.8708
Pretraining Epoch 355/2000, Avg Loss: 4.8698
Pretraining Epoch 356/2000, Avg Loss: 4.8711
Pretraining Epoch 357/2000, Avg Loss: 4.8891
Pretraining Epoch 358/2000, Avg Loss: 5.0008
Pretraining Epoch 359/2000, Avg Loss: 4.8991
Pretraining Epoch 360/2000, Avg Loss: 4.8758
Pretraining Epoch 361/2000, Avg Loss: 4.8785
Pretraining Epoch 362/2000, Avg Loss: 4.8941
Pretraining Epoch 363/2000, Avg Loss: 4.8765
Pretraining Epoch 364/2000, Avg Loss: 4.8740
Pretraining Epoch 365/2000, Avg Loss: 4.8734
Pretraining Epoch 366/2000, Avg Loss: 4.8692
Pretraining Epoch 367/2000, Avg Loss: 4.8715
Pretraining Epoch 368/2000, Avg Loss: 4.9217
Pretraining Epoch 369/2000, Avg Loss: 5.0447
Pretraining Epoch 370/2000, Avg Loss: 4.9156
Pretraining Epoch 371/2000, Avg Loss: 4.8761
Pretraining Epoch 372/2000, Avg Loss: 4.8720
Pretraining Epoch 373/2000, Avg Loss: 4.8709
Pretraining Epoch 374/2000, Avg Loss: 4.8706
Pretraining Epoch 375/2000, Avg Loss: 4.8699
Pretraining Epoch 376/2000, Avg Loss: 4.8697
Pretraining Epoch 377/2000, Avg Loss: 4.8702
Pretraining Epoch 378/2000, Avg Loss: 4.8703
Pretraining Epoch 379/2000, Avg Loss: 4.8695
Pretraining Epoch 380/2000, Avg Loss: 4.8688
Pretraining Epoch 381/2000, Avg Loss: 4.9681
Pretraining Epoch 382/2000, Avg Loss: 4.9728
Pretraining Epoch 383/2000, Avg Loss: 4.9123
Pretraining Epoch 384/2000, Avg Loss: 4.8974
Pretraining Epoch 385/2000, Avg Loss: 4.8730
Pretraining Epoch 386/2000, Avg Loss: 4.8703
Pretraining Epoch 387/2000, Avg Loss: 4.8698
Pretraining Epoch 388/2000, Avg Loss: 4.8690
Pretraining Epoch 389/2000, Avg Loss: 4.8690
Pretraining Epoch 390/2000, Avg Loss: 4.8690
Pretraining Epoch 391/2000, Avg Loss: 4.8703
Pretraining Epoch 392/2000, Avg Loss: 4.8727
Pretraining Epoch 393/2000, Avg Loss: 4.9369
Pretraining Epoch 394/2000, Avg Loss: 4.9042
Pretraining Epoch 395/2000, Avg Loss: 4.8770
Pretraining Epoch 396/2000, Avg Loss: 4.8703
Pretraining Epoch 397/2000, Avg Loss: 4.8689
Pretraining Epoch 398/2000, Avg Loss: 4.8702
Pretraining Epoch 399/2000, Avg Loss: 4.8708
Pretraining Epoch 400/2000, Avg Loss: 4.8792
Pretraining Epoch 401/2000, Avg Loss: 5.0609
Pretraining Epoch 402/2000, Avg Loss: 4.9037
Pretraining Epoch 403/2000, Avg Loss: 4.8858
Pretraining Epoch 404/2000, Avg Loss: 4.9100
Pretraining Epoch 405/2000, Avg Loss: 4.8760
Pretraining Epoch 406/2000, Avg Loss: 4.8743
Pretraining Epoch 407/2000, Avg Loss: 4.8722
Pretraining Epoch 408/2000, Avg Loss: 4.8729
Pretraining Epoch 409/2000, Avg Loss: 4.8842
Pretraining Epoch 410/2000, Avg Loss: 4.9432
Pretraining Epoch 411/2000, Avg Loss: 4.8758
Pretraining Epoch 412/2000, Avg Loss: 4.8705
Pretraining Epoch 413/2000, Avg Loss: 4.8691
Pretraining Epoch 414/2000, Avg Loss: 4.8688
Pretraining Epoch 415/2000, Avg Loss: 4.8701
Pretraining Epoch 416/2000, Avg Loss: 4.8702
Pretraining Epoch 417/2000, Avg Loss: 4.8698
Pretraining Epoch 418/2000, Avg Loss: 5.0097
Pretraining Epoch 419/2000, Avg Loss: 4.9382
Pretraining Epoch 420/2000, Avg Loss: 4.8889
Pretraining Epoch 421/2000, Avg Loss: 4.8736
Pretraining Epoch 422/2000, Avg Loss: 4.9176
Pretraining Epoch 423/2000, Avg Loss: 4.8807
Pretraining Epoch 424/2000, Avg Loss: 4.8718
Pretraining Epoch 425/2000, Avg Loss: 4.8726
Pretraining Epoch 426/2000, Avg Loss: 4.8695
Pretraining Epoch 427/2000, Avg Loss: 4.8689
Pretraining Epoch 428/2000, Avg Loss: 4.8693
Pretraining Epoch 429/2000, Avg Loss: 4.8682
Pretraining Epoch 430/2000, Avg Loss: 4.9298
Pretraining Epoch 431/2000, Avg Loss: 4.9165
Pretraining Epoch 432/2000, Avg Loss: 4.8974
Pretraining Epoch 433/2000, Avg Loss: 4.8732
Pretraining Epoch 434/2000, Avg Loss: 4.8695
Pretraining Epoch 435/2000, Avg Loss: 4.8691
Pretraining Epoch 436/2000, Avg Loss: 4.8683
Pretraining Epoch 437/2000, Avg Loss: 4.8691
Pretraining Epoch 438/2000, Avg Loss: 4.8696
Pretraining Epoch 439/2000, Avg Loss: 4.8680
Pretraining Epoch 440/2000, Avg Loss: 4.8689
Pretraining Epoch 441/2000, Avg Loss: 4.8688
Pretraining Epoch 442/2000, Avg Loss: 4.9666
Pretraining Epoch 443/2000, Avg Loss: 4.9179
Pretraining Epoch 444/2000, Avg Loss: 4.8765
Pretraining Epoch 445/2000, Avg Loss: 4.8723
Pretraining Epoch 446/2000, Avg Loss: 4.8841
Pretraining Epoch 447/2000, Avg Loss: 4.8750
Pretraining Epoch 448/2000, Avg Loss: 4.8696
Pretraining Epoch 449/2000, Avg Loss: 4.8724
Pretraining Epoch 450/2000, Avg Loss: 4.8706
Pretraining Epoch 451/2000, Avg Loss: 4.8710
Pretraining Epoch 452/2000, Avg Loss: 4.9784
Pretraining Epoch 453/2000, Avg Loss: 4.9678
Pretraining Epoch 454/2000, Avg Loss: 4.8784
Pretraining Epoch 455/2000, Avg Loss: 4.8713
Pretraining Epoch 456/2000, Avg Loss: 4.8696
Pretraining Epoch 457/2000, Avg Loss: 4.8688
Pretraining Epoch 458/2000, Avg Loss: 4.8697
Pretraining Epoch 459/2000, Avg Loss: 4.8688
Pretraining Epoch 460/2000, Avg Loss: 4.8764
Pretraining Epoch 461/2000, Avg Loss: 4.9831
Pretraining Epoch 462/2000, Avg Loss: 4.9215
Pretraining Epoch 463/2000, Avg Loss: 4.8752
Pretraining Epoch 464/2000, Avg Loss: 4.8705
Pretraining Epoch 465/2000, Avg Loss: 4.8692
